epoch,loss_total,loss_detection,loss_photo,lr_detector,time_sec
1,41.6707,41.4481,0.2225,0.0004,558.22
2,30.1304,29.9034,0.227,0.0007,576.18
3,27.0721,26.8525,0.2196,0.001,572.54
4,21.0089,20.7895,0.2194,0.00099974,574.69
5,17.0525,16.8384,0.2141,0.00099896,571.76
6,14.888,14.6766,0.2114,0.00099767,573.85
7,13.2154,13.0134,0.202,0.00099585,571.04
8,12.0032,11.8122,0.191,0.00099352,580.04
9,11.3118,11.126,0.1858,0.00099068,592.77
10,10.6615,10.4836,0.1779,0.00098733,591.42
11,10.3008,10.1332,0.1677,0.00098348,584.75
12,9.8928,9.7283,0.1645,0.00097912,583.62
13,9.6862,9.5187,0.1675,0.00097426,581.9
14,9.4329,9.2686,0.1643,0.00096892,578.15
15,9.1501,8.9923,0.1578,0.00096308,581.06
16,8.9851,8.832,0.153,0.00095677,578.6
17,8.885,8.7325,0.1526,0.00094998,580.45
18,8.8796,8.7252,0.1544,0.00094273,579.87
19,8.5964,8.4458,0.1506,0.00093501,583.0
