model,condition,accuracy_denom,delta_acc(%),banknote_mAP50,banknote_mAP50_95,banknote_avg_iou,banknote_miss_rate,raw_acc_mean,raw_delta_acc
yolov8n,indoor_baseline,99.67 ± 0.45,baseline,99.50 ± 0.75,95.56 ± 1.49,96.03 ± 0.80,0.17 ± 0.37,99.668,0.0
yolov8n,outdoor,94.15 ± 3.69,-5.51 ± 3.25,99.95 ± 0.12,96.29 ± 0.20,96.34 ± 0.22,0.05 ± 0.12,94.15400000000001,-5.514
yolov8n,backlight,95.23 ± 2.26,-4.44 ± 1.89,99.74 ± 0.27,95.99 ± 0.51,96.24 ± 0.27,0.20 ± 0.18,95.228,-4.44
yolov8n,overexposed,90.13 ± 4.11,-9.54 ± 3.98,98.36 ± 0.83,90.54 ± 1.18,92.04 ± 0.59,0.92 ± 0.43,90.13,-9.538
yolov8n,torn_bright,87.14 ± 4.41,-12.53 ± 4.50,97.14 ± 1.31,90.94 ± 1.43,93.62 ± 0.41,2.29 ± 1.23,87.142,-12.526000000000002
yolov8s,indoor_baseline,99.67 ± 0.45,baseline,99.50 ± 0.45,95.72 ± 0.94,96.20 ± 0.65,0.17 ± 0.37,99.668,0.0
yolov8s,outdoor,90.51 ± 4.40,-9.16 ± 4.15,99.79 ± 0.21,96.34 ± 0.25,96.54 ± 0.14,0.10 ± 0.14,90.512,-9.156
yolov8s,backlight,94.38 ± 1.78,-5.29 ± 1.96,99.61 ± 0.27,96.00 ± 0.48,96.38 ± 0.31,0.13 ± 0.18,94.38,-5.288
yolov8s,overexposed,90.39 ± 3.46,-9.27 ± 3.38,97.52 ± 1.17,89.81 ± 2.15,92.09 ± 1.24,1.11 ± 0.37,90.394,-9.274
yolov8s,torn_bright,89.33 ± 2.71,-10.34 ± 3.01,96.95 ± 1.33,90.49 ± 1.56,93.34 ± 0.56,2.00 ± 1.23,89.332,-10.336000000000002
yolo11n,indoor_baseline,100.00 ± 0.00,baseline,99.67 ± 0.45,96.04 ± 0.98,96.36 ± 0.55,0.00 ± 0.00,100.0,0.0
yolo11n,outdoor,92.98 ± 2.43,-7.02 ± 2.43,99.95 ± 0.12,96.57 ± 0.25,96.62 ± 0.24,0.00 ± 0.00,92.97600000000001,-7.024000000000001
yolo11n,backlight,97.45 ± 1.17,-2.55 ± 1.17,99.67 ± 0.33,96.21 ± 0.55,96.52 ± 0.31,0.07 ± 0.15,97.45,-2.55
yolo11n,overexposed,89.74 ± 1.55,-10.26 ± 1.55,98.24 ± 1.87,90.92 ± 2.69,92.54 ± 1.02,0.85 ± 1.05,89.74,-10.260000000000002
yolo11n,torn_bright,90.48 ± 2.05,-9.52 ± 2.05,97.62 ± 0.58,92.02 ± 0.76,94.26 ± 0.50,1.71 ± 0.42,90.476,-9.524000000000001
