model,condition,data_type,binary_tear_acc,tear_precision,tear_recall,tear_f1,false_alarm_rate,tear_mAP50,tear_mAP50_95,tear_box_avg_iou,tear_box_miss_rate,raw_map_mean
yolov8n,indoor_baseline,Có rách thật,93.50 ± 3.08,96.87 ± 2.89,84.29 ± 9.31,89.86 ± 5.42,1.54 ± 1.41,82.22 ± 10.91,70.09 ± 8.95,85.31 ± 1.35,17.78 ± 10.91,82.22
yolov8n,torn_bright,Có rách thật,83.33 ± 1.62,100.00 ± 0.00,83.33 ± 1.62,90.90 ± 0.96,0.00 ± 0.00,79.25 ± 1.07,68.20 ± 1.02,86.05 ± 0.24,20.75 ± 1.07,79.25399999999999
yolov8n,outdoor,Nguyên vẹn,99.03 ± 0.49,—,—,—,0.97 ± 0.49,—,—,—,—,
yolov8n,backlight,Nguyên vẹn,96.47 ± 1.52,—,—,—,3.53 ± 1.52,—,—,—,—,
yolov8n,overexposed,Nguyên vẹn,95.03 ± 1.56,—,—,—,4.97 ± 1.56,—,—,—,—,
yolov8s,indoor_baseline,Có rách thật,95.67 ± 3.20,99.50 ± 1.12,88.10 ± 9.37,93.21 ± 5.56,0.26 ± 0.57,86.34 ± 11.68,73.24 ± 9.92,84.82 ± 1.60,13.66 ± 11.68,86.34399999999998
yolov8s,torn_bright,Có rách thật,86.38 ± 1.29,100.00 ± 0.00,86.38 ± 1.29,92.69 ± 0.74,0.00 ± 0.00,82.70 ± 1.84,71.27 ± 1.41,86.19 ± 0.53,17.30 ± 1.84,82.69999999999999
yolov8s,outdoor,Nguyên vẹn,98.72 ± 0.65,—,—,—,1.28 ± 0.65,—,—,—,—,
yolov8s,backlight,Nguyên vẹn,97.45 ± 1.27,—,—,—,2.55 ± 1.27,—,—,—,—,
yolov8s,overexposed,Nguyên vẹn,96.47 ± 1.17,—,—,—,3.53 ± 1.17,—,—,—,—,
yolo11n,indoor_baseline,Có rách thật,96.00 ± 2.46,100.00 ± 0.00,88.57 ± 7.02,93.82 ± 4.15,0.00 ± 0.00,85.85 ± 9.00,73.08 ± 7.57,85.14 ± 0.75,14.15 ± 9.00,85.846
yolo11n,torn_bright,Có rách thật,85.43 ± 0.80,100.00 ± 0.00,85.43 ± 0.80,92.14 ± 0.46,0.00 ± 0.00,80.93 ± 1.71,69.63 ± 1.08,86.05 ± 0.84,19.07 ± 1.71,80.93200000000002
yolo11n,outdoor,Nguyên vẹn,99.02 ± 0.28,—,—,—,0.98 ± 0.28,—,—,—,—,
yolo11n,backlight,Nguyên vẹn,95.82 ± 1.19,—,—,—,4.18 ± 1.19,—,—,—,—,
yolo11n,overexposed,Nguyên vẹn,96.01 ± 1.33,—,—,—,3.99 ± 1.33,—,—,—,—,
