condition,num_samples,has_real_tears,accuracy_denom,banknote_avg_iou,banknote_map50,banknote_map50_95,banknote_miss_rate,binary_tear_acc,tear_precision,tear_recall,tear_f1,false_alarm_rate,tear_map50,tear_map50_95,tear_box_avg_iou,tear_box_miss_rate,fold,delta_acc(%),delta_mAP50(%)
indoor_baseline,120,True,100.0,95.6,99.17,94.8,0.0,91.67,100.0,76.19,86.49,0.0,70.45,59.96,85.11,29.55,1,0.0,0.0
outdoor,390,False,90.26,96.76,100.0,96.76,0.0,98.72,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,1,-9.74,
backlight,306,False,97.71,96.22,99.35,95.59,0.0,96.41,0.0,0.0,0.0,3.59,0.0,0.0,0.0,0.0,1,-2.29,
overexposed,306,False,91.18,92.41,98.37,90.9,0.33,96.73,0.0,0.0,0.0,3.27,0.0,0.0,0.0,0.0,1,-8.82,
torn_bright,210,True,91.9,94.55,98.1,92.75,1.43,85.24,100.0,85.24,92.03,0.0,78.14,68.1,87.16,21.86,1,-8.1,7.69
indoor_baseline,120,True,100.0,96.84,100.0,96.84,0.0,97.5,100.0,92.86,96.3,0.0,93.18,79.27,85.07,6.82,2,0.0,0.0
outdoor,390,False,91.54,96.66,99.74,96.41,0.0,98.97,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,2,-8.46,
backlight,306,False,97.71,96.61,99.67,96.3,0.0,95.1,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,2,-2.29,
overexposed,306,False,91.18,93.0,98.37,91.48,0.98,94.12,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,2,-8.82,
torn_bright,210,True,90.48,94.38,98.1,92.58,1.43,86.67,100.0,86.67,92.86,0.0,81.4,69.82,85.78,18.6,2,-9.52,-11.78
indoor_baseline,120,True,100.0,96.8,100.0,96.8,0.0,96.67,100.0,90.48,95.0,0.0,88.64,75.74,85.45,11.36,3,0.0,0.0
outdoor,390,False,96.41,96.92,100.0,96.92,0.0,98.97,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,3,-3.59,
backlight,306,False,98.37,97.01,100.0,97.01,0.0,96.41,0.0,0.0,0.0,3.59,0.0,0.0,0.0,0.0,3,-1.63,
overexposed,306,False,89.87,93.47,99.67,93.16,0.33,97.71,0.0,0.0,0.0,2.29,0.0,0.0,0.0,0.0,3,-10.13,
torn_bright,210,True,87.62,94.62,97.62,92.37,1.9,84.76,100.0,84.76,91.75,0.0,80.93,69.03,85.3,19.07,3,-12.38,-7.71
indoor_baseline,120,True,100.0,95.97,99.17,95.17,0.0,96.67,100.0,90.48,95.0,0.0,86.05,74.05,86.05,13.95,4,0.0,0.0
outdoor,390,False,92.31,96.38,100.0,96.38,0.0,98.97,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,4,-7.69,
backlight,306,False,98.04,96.33,100.0,96.33,0.0,94.12,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,4,-1.96,
overexposed,306,False,88.89,90.83,95.1,86.38,2.61,95.75,0.0,0.0,0.0,4.25,0.0,0.0,0.0,0.0,4,-11.11,
torn_bright,210,True,92.86,93.39,97.62,91.17,1.43,85.71,100.0,85.71,92.31,0.0,82.79,70.64,85.32,17.21,4,-7.14,-3.26
indoor_baseline,120,True,100.0,96.61,100.0,96.61,0.0,97.5,100.0,92.86,96.3,0.0,90.91,76.36,84.0,9.09,5,0.0,0.0
outdoor,390,False,94.36,96.38,100.0,96.38,0.0,99.49,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,5,-5.64,
backlight,306,False,95.42,96.43,99.35,95.8,0.33,97.06,0.0,0.0,0.0,2.94,0.0,0.0,0.0,0.0,5,-4.58,
overexposed,306,False,87.58,92.97,99.67,92.67,0.0,95.75,0.0,0.0,0.0,4.25,0.0,0.0,0.0,0.0,5,-12.42,
torn_bright,210,True,89.52,94.38,96.67,91.24,2.38,84.76,100.0,84.76,91.75,0.0,81.4,70.57,86.71,18.6,5,-10.48,-9.51
