epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.18955,0.91458,3.60712,1.31389,0.01068,0.85714,0.22935,0.20962,0.52021,3.91698,0.96797,0.00026361,0.00026361,0.00026361
2,11.9568,0.88324,3.10104,1.25073,0.92482,0.10359,0.39478,0.31908,0.76743,3.65177,1.14511,0.000531001,0.000531001,0.000531001
3,17.6772,0.90966,2.35564,1.23846,0.60936,0.43083,0.47064,0.38013,0.76805,3.21977,1.08424,0.000792992,0.000792992,0.000792992
4,23.3583,0.89623,1.92059,1.21502,0.43592,0.49244,0.47841,0.40314,0.7067,2.86816,1.06404,0.000882003,0.000882003,0.000882003
5,29.4233,0.85759,1.59291,1.18162,0.75689,0.60821,0.68791,0.58281,0.69178,2.24437,1.04322,0.000873004,0.000873004,0.000873004
6,35.1265,0.83358,1.45484,1.15354,0.75543,0.68185,0.69982,0.60407,0.6003,2.09058,0.97194,0.000864004,0.000864004,0.000864004
7,40.7439,0.79919,1.37233,1.13272,0.69293,0.69287,0.6871,0.59306,0.69535,2.10132,1.02077,0.000855005,0.000855005,0.000855005
8,46.3211,0.76158,1.24129,1.111,0.80243,0.68876,0.74823,0.63149,0.73586,1.99501,1.08407,0.000846006,0.000846006,0.000846006
9,51.9983,0.74634,1.2137,1.08994,0.81042,0.77382,0.83253,0.72909,0.6336,1.65401,0.97102,0.000837007,0.000837007,0.000837007
10,57.6827,0.74452,1.15046,1.09921,0.77283,0.86861,0.92394,0.80789,0.61716,1.43135,0.96134,0.000828008,0.000828008,0.000828008
11,63.3333,0.73688,1.08157,1.09522,0.85797,0.86653,0.90263,0.78864,0.61555,1.26087,0.96383,0.000819009,0.000819009,0.000819009
12,69.0125,0.737,1.09838,1.09825,0.60274,0.73875,0.7514,0.60884,0.68893,1.77222,1.04347,0.00081001,0.00081001,0.00081001
13,74.6154,0.73821,1.05643,1.09767,0.77416,0.77591,0.8833,0.74537,0.6895,1.41683,1.019,0.000801011,0.000801011,0.000801011
14,80.4623,0.69555,0.95755,1.06608,0.91357,0.80487,0.91798,0.80263,0.5946,1.15341,0.9485,0.000792012,0.000792012,0.000792012
15,86.093,0.6877,0.9344,1.07198,0.89388,0.86968,0.91489,0.8176,0.56673,1.07128,0.94219,0.000783013,0.000783013,0.000783013
16,91.7586,0.70296,0.90845,1.07465,0.87614,0.92435,0.94774,0.8502,0.56026,0.97722,0.92811,0.000774013,0.000774013,0.000774013
17,97.3807,0.69402,0.92885,1.07859,0.8155,0.77976,0.84603,0.74859,0.61181,1.36437,0.9518,0.000765014,0.000765014,0.000765014
18,103.047,0.69803,0.86474,1.07676,0.85557,0.83023,0.91733,0.82089,0.55832,1.03871,0.93756,0.000756015,0.000756015,0.000756015
19,108.677,0.66877,0.85733,1.06391,0.87971,0.83008,0.9055,0.80603,0.54759,1.11999,0.914,0.000747016,0.000747016,0.000747016
20,114.28,0.68703,0.83132,1.0646,0.89601,0.87424,0.93084,0.84536,0.51312,0.91351,0.89776,0.000738017,0.000738017,0.000738017
21,119.831,0.6532,0.80763,1.05041,0.93678,0.90613,0.94977,0.8553,0.52579,0.82957,0.90286,0.000729018,0.000729018,0.000729018
22,125.526,0.64735,0.76593,1.04382,0.93109,0.94378,0.9623,0.88143,0.46128,0.68602,0.8767,0.000720019,0.000720019,0.000720019
23,131.213,0.65998,0.77858,1.05562,0.93138,0.94018,0.93324,0.83111,0.54282,0.76986,0.90924,0.00071102,0.00071102,0.00071102
24,137.095,0.62106,0.71702,1.01765,0.88297,0.84069,0.90863,0.82123,0.5026,0.89293,0.89518,0.000702021,0.000702021,0.000702021
25,142.719,0.59722,0.68027,1.02073,0.90442,0.86111,0.95238,0.87275,0.4969,0.81059,0.89342,0.000693022,0.000693022,0.000693022
26,148.349,0.60273,0.7035,1.0314,0.89641,0.81728,0.93654,0.84232,0.50424,0.85171,0.89238,0.000684022,0.000684022,0.000684022
27,153.762,0.6198,0.69418,1.03516,0.91375,0.83528,0.92412,0.83451,0.52646,0.91444,0.91366,0.000675023,0.000675023,0.000675023
28,159.356,0.61533,0.71251,1.03877,0.9326,0.93839,0.95262,0.87229,0.49907,0.69505,0.90164,0.000666024,0.000666024,0.000666024
29,164.918,0.6003,0.65184,1.02223,0.95631,0.93895,0.97691,0.89657,0.481,0.60066,0.8741,0.000657025,0.000657025,0.000657025
30,170.578,0.58933,0.64033,1.01248,0.9383,0.94002,0.96421,0.88128,0.49432,0.64453,0.89416,0.000648026,0.000648026,0.000648026
31,176.122,0.599,0.65924,1.01569,0.93902,0.9545,0.97167,0.87919,0.52314,0.61982,0.90533,0.000639027,0.000639027,0.000639027
32,181.625,0.61245,0.62836,1.02973,0.8984,0.89171,0.9533,0.87029,0.49,0.72032,0.88149,0.000630028,0.000630028,0.000630028
33,187.555,0.60107,0.63712,1.00912,0.8812,0.84904,0.94616,0.86724,0.4806,0.77279,0.89225,0.000621029,0.000621029,0.000621029
34,193.198,0.59205,0.61494,1.01017,0.9327,0.90809,0.9563,0.86862,0.51391,0.60835,0.89639,0.00061203,0.00061203,0.00061203
35,198.727,0.58883,0.58803,1.00244,0.94187,0.96273,0.97054,0.8927,0.4626,0.53782,0.87862,0.000603031,0.000603031,0.000603031
36,204.368,0.59856,0.62703,1.00922,0.94685,0.9261,0.97089,0.89168,0.46523,0.54124,0.86903,0.000594031,0.000594031,0.000594031
37,209.957,0.5721,0.6091,1.00415,0.93231,0.94137,0.97059,0.89982,0.46663,0.54919,0.87421,0.000585032,0.000585032,0.000585032
38,215.573,0.55438,0.57367,1.00262,0.95243,0.97211,0.97619,0.89833,0.46061,0.47028,0.87629,0.000576033,0.000576033,0.000576033
39,221.154,0.56886,0.56817,0.99878,0.9606,0.96623,0.97322,0.90641,0.44348,0.45611,0.85337,0.000567034,0.000567034,0.000567034
40,226.788,0.58794,0.57372,1.02109,0.97423,0.93602,0.96901,0.88585,0.48624,0.55798,0.88845,0.000558035,0.000558035,0.000558035
41,232.4,0.59444,0.56582,1.01336,0.91083,0.8492,0.91957,0.84452,0.47652,0.83759,0.86892,0.000549036,0.000549036,0.000549036
42,238.075,0.5737,0.56032,1.00932,0.94683,0.96304,0.97185,0.89788,0.46709,0.50141,0.87206,0.000540037,0.000540037,0.000540037
43,243.982,0.55358,0.52895,0.98984,0.93875,0.95958,0.9761,0.90782,0.46018,0.48677,0.86858,0.000531038,0.000531038,0.000531038
44,249.637,0.54082,0.50887,0.98274,0.95132,0.96313,0.97318,0.89397,0.48026,0.45253,0.88881,0.000522039,0.000522039,0.000522039
45,255.295,0.56668,0.53938,0.99159,0.98007,0.96278,0.9792,0.9012,0.46775,0.44267,0.87926,0.00051304,0.00051304,0.00051304
46,260.961,0.52135,0.52346,0.99284,0.97376,0.94732,0.97879,0.90365,0.44606,0.42742,0.87059,0.00050404,0.00050404,0.00050404
47,266.58,0.52757,0.5086,0.98865,0.96508,0.95928,0.97926,0.88725,0.50996,0.46084,0.89766,0.000495041,0.000495041,0.000495041
48,272.289,0.54107,0.51533,0.99097,0.96762,0.94596,0.97427,0.89358,0.48159,0.4599,0.87361,0.000486042,0.000486042,0.000486042
49,277.943,0.54186,0.53167,0.9797,0.87995,0.87456,0.93478,0.85679,0.47005,0.74011,0.87044,0.000477043,0.000477043,0.000477043
50,283.72,0.52642,0.49858,0.98019,0.94725,0.96871,0.98072,0.9037,0.44538,0.41086,0.85592,0.000468044,0.000468044,0.000468044
51,289.169,0.52029,0.4721,0.97574,0.95248,0.96453,0.97558,0.90262,0.45129,0.41605,0.86035,0.000459045,0.000459045,0.000459045
52,295.189,0.52629,0.50031,0.98372,0.97507,0.97637,0.98169,0.91308,0.4464,0.39854,0.85051,0.000450046,0.000450046,0.000450046
53,300.762,0.53194,0.50252,0.98375,0.93969,0.96968,0.97663,0.90565,0.43636,0.43393,0.865,0.000441047,0.000441047,0.000441047
54,306.367,0.51551,0.51057,0.97515,0.97868,0.96633,0.98105,0.91728,0.43068,0.40487,0.85208,0.000432048,0.000432048,0.000432048
55,311.907,0.524,0.46537,0.97997,0.97383,0.96335,0.97864,0.90678,0.44365,0.3938,0.85994,0.000423049,0.000423049,0.000423049
56,317.403,0.51539,0.45564,0.97454,0.98509,0.95524,0.97928,0.90938,0.43522,0.4093,0.85331,0.000414049,0.000414049,0.000414049
57,322.921,0.50694,0.44348,0.96639,0.9775,0.95963,0.97987,0.91312,0.43047,0.37866,0.84912,0.00040505,0.00040505,0.00040505
58,328.383,0.48217,0.44471,0.95702,0.97878,0.97084,0.98142,0.90415,0.4409,0.37098,0.85047,0.000396051,0.000396051,0.000396051
59,333.786,0.52541,0.47558,1.00333,0.9743,0.97236,0.98006,0.90749,0.43497,0.3779,0.85365,0.000387052,0.000387052,0.000387052
60,339.352,0.5042,0.45636,0.97034,0.96573,0.96797,0.97745,0.90898,0.43449,0.37762,0.85296,0.000378053,0.000378053,0.000378053
61,344.863,0.5057,0.42533,0.96462,0.96779,0.96625,0.97737,0.90805,0.43088,0.37147,0.84928,0.000369054,0.000369054,0.000369054
62,350.461,0.48461,0.43201,0.95518,0.97503,0.95819,0.9824,0.91718,0.42523,0.37319,0.84195,0.000360055,0.000360055,0.000360055
63,356.39,0.48744,0.42922,0.96405,0.97908,0.97184,0.98446,0.93036,0.40007,0.34684,0.83202,0.000351056,0.000351056,0.000351056
