condition,num_samples,has_real_tears,accuracy_denom,banknote_avg_iou,banknote_map50,banknote_map50_95,banknote_miss_rate,binary_tear_acc,tear_precision,tear_recall,tear_f1,false_alarm_rate,tear_map50,tear_map50_95,tear_box_avg_iou,tear_box_miss_rate,fold,delta_acc(%),delta_mAP50(%)
indoor_baseline,120,True,99.17,94.77,98.33,93.19,0.83,89.17,100.0,69.05,81.69,0.0,63.64,55.11,86.6,36.36,1,0.0,0.0
outdoor,390,False,90.77,96.13,100.0,96.13,0.0,98.97,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,1,-8.4,
backlight,306,False,94.77,96.06,99.67,95.75,0.33,96.41,0.0,0.0,0.0,3.59,0.0,0.0,0.0,0.0,1,-4.4,
overexposed,306,False,92.81,91.55,98.04,89.76,0.98,95.1,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,1,-6.36,
torn_bright,210,True,90.0,93.34,95.71,89.34,3.81,84.29,100.0,84.29,91.47,0.0,79.53,68.48,86.11,20.47,1,-9.17,15.89
indoor_baseline,120,True,100.0,96.46,100.0,96.46,0.0,94.17,97.3,85.71,91.14,1.28,86.36,75.03,86.87,13.64,2,0.0,0.0
outdoor,390,False,95.9,96.2,100.0,96.2,0.0,99.23,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,2,-4.1,
backlight,306,False,96.73,95.86,99.35,95.23,0.33,95.42,0.0,0.0,0.0,4.58,0.0,0.0,0.0,0.0,2,-3.27,
overexposed,306,False,88.89,91.67,97.71,89.57,1.31,93.46,0.0,0.0,0.0,6.54,0.0,0.0,0.0,0.0,2,-11.11,
torn_bright,210,True,82.86,93.2,97.62,90.98,1.9,85.24,100.0,85.24,92.03,0.0,78.6,67.37,85.7,21.4,2,-17.14,-7.76
indoor_baseline,120,True,100.0,96.87,100.0,96.87,0.0,96.67,97.5,92.86,95.12,1.28,90.91,77.23,84.95,9.09,3,0.0,0.0
outdoor,390,False,96.15,96.64,100.0,96.64,0.0,99.49,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,3,-3.85,
backlight,306,False,97.06,96.49,100.0,96.49,0.0,94.77,0.0,0.0,0.0,5.23,0.0,0.0,0.0,0.0,3,-2.94,
overexposed,306,False,95.1,93.01,98.69,91.79,0.65,93.46,0.0,0.0,0.0,6.54,0.0,0.0,0.0,0.0,3,-4.9,
torn_bright,210,True,93.33,93.9,99.05,93.01,0.48,81.9,100.0,81.9,90.05,0.0,78.14,67.38,86.23,21.86,3,-6.67,-12.77
indoor_baseline,120,True,99.17,95.81,99.17,95.01,0.0,95.83,97.44,90.48,93.83,1.28,88.37,74.39,84.17,11.63,4,0.0,0.0
outdoor,390,False,89.74,96.5,99.74,96.25,0.26,98.21,0.0,0.0,0.0,1.79,0.0,0.0,0.0,0.0,4,-9.43,
backlight,306,False,91.5,96.39,100.0,96.39,0.0,98.69,0.0,0.0,0.0,1.31,0.0,0.0,0.0,0.0,4,-7.67,
overexposed,306,False,84.31,91.82,97.71,89.72,1.31,96.41,0.0,0.0,0.0,3.59,0.0,0.0,0.0,0.0,4,-14.86,
torn_bright,210,True,85.71,94.18,97.14,91.49,2.38,83.81,100.0,83.81,91.19,0.0,80.93,69.84,86.29,19.07,4,-13.46,-7.44
indoor_baseline,120,True,100.0,96.25,100.0,96.25,0.0,91.67,92.11,83.33,87.5,3.85,81.82,68.71,83.98,18.18,5,0.0,0.0
outdoor,390,False,98.21,96.23,100.0,96.23,0.0,99.23,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,5,-1.79,
backlight,306,False,96.08,96.41,99.67,96.1,0.33,97.06,0.0,0.0,0.0,2.94,0.0,0.0,0.0,0.0,5,-3.92,
overexposed,306,False,89.54,92.17,99.67,91.87,0.33,96.73,0.0,0.0,0.0,3.27,0.0,0.0,0.0,0.0,5,-10.46,
torn_bright,210,True,83.81,93.46,96.19,89.9,2.86,81.43,100.0,81.43,89.76,0.0,79.07,67.95,85.94,20.93,5,-16.19,-2.75
