epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.61348,0.92648,3.38062,1.31339,0.00768,0.85714,0.24874,0.21175,0.73762,3.71849,1.15011,0.00026361,0.00026361,0.00026361
2,12.0381,0.86414,2.57598,1.23503,0.4509,0.31154,0.36214,0.30682,0.79306,3.18419,1.16056,0.000531001,0.000531001,0.000531001
3,17.2013,0.8444,2.12559,1.21769,0.62808,0.5906,0.63394,0.51929,0.81906,2.80084,1.22172,0.000792992,0.000792992,0.000792992
4,22.3629,0.87817,1.84312,1.2166,0.74421,0.50272,0.65529,0.5194,0.82378,2.81672,1.20428,0.000882003,0.000882003,0.000882003
5,27.4412,0.8365,1.57227,1.15017,0.72956,0.54663,0.74478,0.60481,0.76588,3.18961,1.1724,0.000873004,0.000873004,0.000873004
6,32.5668,0.77731,1.36399,1.12277,0.45651,0.5828,0.57457,0.45616,0.78744,3.25929,1.17262,0.000864004,0.000864004,0.000864004
7,37.7561,0.78834,1.3019,1.14761,0.80211,0.65237,0.76648,0.65394,0.71576,1.93646,1.06854,0.000855005,0.000855005,0.000855005
8,42.9326,0.74347,1.19502,1.10578,0.70157,0.67169,0.66894,0.53375,0.82481,2.44299,1.16327,0.000846006,0.000846006,0.000846006
9,48.0481,0.74055,1.14803,1.09728,0.80925,0.83259,0.87021,0.72878,0.74215,1.49663,1.10037,0.000837007,0.000837007,0.000837007
10,53.1534,0.73794,1.0974,1.10145,0.87672,0.83848,0.90146,0.76487,0.6837,1.33453,1.05556,0.000828008,0.000828008,0.000828008
11,58.3252,0.71642,1.09485,1.08958,0.77161,0.8299,0.86332,0.69945,0.72787,1.54587,1.13246,0.000819009,0.000819009,0.000819009
12,63.5241,0.68912,1.03123,1.08706,0.86515,0.85535,0.90223,0.75532,0.67842,1.39778,1.06001,0.00081001,0.00081001,0.00081001
13,68.7105,0.73259,0.99176,1.08375,0.94833,0.91639,0.9572,0.81453,0.68005,1.07097,1.03895,0.000801011,0.000801011,0.000801011
14,73.8757,0.70118,0.91967,1.0767,0.94795,0.89988,0.95892,0.83009,0.65832,1.03732,1.01482,0.000792012,0.000792012,0.000792012
15,78.9946,0.68715,0.89617,1.07052,0.9314,0.94652,0.96137,0.80786,0.7035,0.98021,1.06308,0.000783013,0.000783013,0.000783013
16,84.1406,0.68069,0.8717,1.06616,0.86809,0.8205,0.94165,0.80147,0.63608,1.10236,1.00179,0.000774013,0.000774013,0.000774013
17,89.3823,0.67056,0.87402,1.04938,0.8751,0.8756,0.95203,0.82577,0.61987,0.97473,1.01768,0.000765014,0.000765014,0.000765014
18,94.5815,0.69024,0.90011,1.08084,0.93832,0.94168,0.9716,0.84428,0.60707,0.85368,0.99637,0.000756015,0.000756015,0.000756015
19,99.7763,0.64444,0.78365,1.04603,0.96147,0.90744,0.96094,0.83945,0.5872,0.82153,0.98467,0.000747016,0.000747016,0.000747016
20,104.978,0.67442,0.78338,1.06107,0.95243,0.91415,0.96877,0.83233,0.59219,0.80196,1.00158,0.000738017,0.000738017,0.000738017
21,110.122,0.64235,0.79299,1.03612,0.87481,0.92925,0.94732,0.82699,0.58188,0.79099,1.00035,0.000729018,0.000729018,0.000729018
22,115.275,0.63496,0.73017,1.03662,0.94679,0.93655,0.97327,0.83944,0.61677,0.70568,1.01458,0.000720019,0.000720019,0.000720019
23,120.376,0.63187,0.73044,1.04117,0.85355,0.82856,0.9036,0.79298,0.57222,0.99625,0.9797,0.00071102,0.00071102,0.00071102
24,125.494,0.61067,0.69492,1.02477,0.91769,0.89901,0.96603,0.86287,0.5622,0.79567,0.9702,0.000702021,0.000702021,0.000702021
25,130.691,0.59848,0.69787,1.02214,0.87136,0.89133,0.94637,0.84693,0.53408,0.86877,0.94153,0.000693022,0.000693022,0.000693022
26,135.828,0.60556,0.70198,1.0282,0.91104,0.92087,0.96677,0.84789,0.57765,0.67856,0.98014,0.000684022,0.000684022,0.000684022
27,141.069,0.60633,0.69087,1.01945,0.95292,0.95161,0.96642,0.86659,0.5585,0.67654,0.9528,0.000675023,0.000675023,0.000675023
28,146.31,0.61962,0.65279,1.0316,0.96349,0.93599,0.96786,0.84292,0.56556,0.63012,0.97228,0.000666024,0.000666024,0.000666024
29,151.575,0.61264,0.651,1.02955,0.92399,0.93952,0.9707,0.8681,0.54365,0.64434,0.94296,0.000657025,0.000657025,0.000657025
30,156.695,0.58186,0.63575,1.01484,0.93524,0.92934,0.96866,0.86727,0.5344,0.60699,0.92638,0.000648026,0.000648026,0.000648026
31,161.727,0.5842,0.62755,1.0144,0.98213,0.94478,0.96736,0.87516,0.54408,0.58425,0.95152,0.000639027,0.000639027,0.000639027
32,166.82,0.58799,0.63004,1.0227,0.95329,0.92599,0.9659,0.86689,0.55109,0.60024,0.95746,0.000630028,0.000630028,0.000630028
33,171.778,0.6095,0.62849,1.01804,0.96818,0.94925,0.97689,0.88046,0.52934,0.56382,0.93673,0.000621029,0.000621029,0.000621029
34,176.744,0.57536,0.57594,0.99865,0.95814,0.92927,0.96024,0.86732,0.53618,0.56535,0.93273,0.00061203,0.00061203,0.00061203
35,181.807,0.58112,0.59484,1.00331,0.94057,0.86074,0.96683,0.87933,0.52201,0.67633,0.92495,0.000603031,0.000603031,0.000603031
36,186.889,0.56347,0.57691,0.99993,0.83045,0.84744,0.94044,0.84376,0.52241,0.85761,0.93612,0.000594031,0.000594031,0.000594031
37,191.937,0.54803,0.551,0.988,0.97777,0.95867,0.98234,0.89668,0.51128,0.47994,0.91683,0.000585032,0.000585032,0.000585032
38,197.142,0.55387,0.55216,0.9981,0.96056,0.92169,0.97668,0.89598,0.50773,0.53845,0.91766,0.000576033,0.000576033,0.000576033
39,202.276,0.53742,0.59186,0.982,0.97911,0.9511,0.96732,0.88319,0.53016,0.49326,0.95329,0.000567034,0.000567034,0.000567034
40,207.363,0.54699,0.54318,0.99165,0.96614,0.95233,0.96513,0.88187,0.49424,0.49992,0.91857,0.000558035,0.000558035,0.000558035
41,212.352,0.53018,0.54148,0.99159,0.97146,0.9559,0.97371,0.883,0.52724,0.49358,0.93995,0.000549036,0.000549036,0.000549036
42,217.486,0.54177,0.53485,0.99705,0.86828,0.95827,0.96073,0.86503,0.52041,0.58229,0.92216,0.000540037,0.000540037,0.000540037
43,222.546,0.52626,0.54537,0.98766,0.95105,0.92722,0.96601,0.86969,0.51733,0.56507,0.92887,0.000531038,0.000531038,0.000531038
44,227.583,0.53584,0.54486,0.97817,0.96556,0.96314,0.98535,0.90051,0.47759,0.45682,0.89745,0.000522039,0.000522039,0.000522039
45,232.598,0.53105,0.5067,0.97294,0.9713,0.95782,0.9817,0.89256,0.50255,0.44978,0.90792,0.00051304,0.00051304,0.00051304
