condition,num_samples,has_real_tears,accuracy_denom,banknote_avg_iou,banknote_map50,banknote_map50_95,banknote_miss_rate,binary_tear_acc,tear_precision,tear_recall,tear_f1,false_alarm_rate,tear_map50,tear_map50_95,tear_box_avg_iou,tear_box_miss_rate,fold,delta_acc(%),delta_mAP50(%)
indoor_baseline,120,True,100.0,95.67,99.17,94.87,0.0,90.0,100.0,71.43,83.33,0.0,65.91,55.52,84.24,34.09,1,0.0,0.0
outdoor,390,False,86.92,96.53,99.74,96.28,0.0,99.23,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,1,-13.08,
backlight,306,False,92.16,96.64,100.0,96.64,0.0,98.37,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,1,-7.84,
overexposed,306,False,92.16,92.79,99.02,91.88,0.65,96.73,0.0,0.0,0.0,3.27,0.0,0.0,0.0,0.0,1,-7.84,
torn_bright,210,True,85.24,93.27,96.67,90.16,2.38,85.71,100.0,85.71,92.31,0.0,82.33,71.3,86.61,17.67,1,-14.76,16.42
indoor_baseline,120,True,99.17,96.91,100.0,96.91,0.0,96.67,100.0,90.48,95.0,0.0,90.91,77.47,85.21,9.09,2,0.0,0.0
outdoor,390,False,88.46,96.77,99.74,96.52,0.26,99.49,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,2,-10.71,
backlight,306,False,95.1,96.35,99.67,96.04,0.0,98.04,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,2,-4.07,
overexposed,306,False,84.97,93.07,97.71,90.94,1.31,95.1,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,2,-14.2,
torn_bright,210,True,89.52,93.06,98.57,91.73,0.0,88.1,100.0,88.1,93.67,0.0,85.58,73.43,85.8,14.42,2,-9.65,-5.33
indoor_baseline,120,True,99.17,96.79,99.17,95.98,0.83,96.67,97.5,92.86,95.12,1.28,88.64,77.03,86.9,11.36,3,0.0,0.0
outdoor,390,False,86.92,96.43,99.49,95.93,0.26,98.21,0.0,0.0,0.0,1.79,0.0,0.0,0.0,0.0,3,-12.25,
backlight,306,False,94.77,96.66,99.35,96.03,0.33,96.08,0.0,0.0,0.0,3.92,0.0,0.0,0.0,0.0,3,-4.4,
overexposed,306,False,94.12,92.86,97.39,90.43,1.63,95.42,0.0,0.0,0.0,4.58,0.0,0.0,0.0,0.0,3,-5.05,
torn_bright,210,True,92.86,94.23,98.1,92.44,1.9,86.19,100.0,86.19,92.58,0.0,82.79,70.76,85.47,17.21,3,-6.31,-5.85
indoor_baseline,120,True,100.0,95.46,99.17,94.66,0.0,97.5,100.0,92.86,96.3,0.0,95.35,78.68,82.52,4.65,4,0.0,0.0
outdoor,390,False,93.59,96.55,100.0,96.55,0.0,97.95,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,4,-6.41,
backlight,306,False,93.14,96.34,99.67,96.02,0.33,98.69,0.0,0.0,0.0,1.31,0.0,0.0,0.0,0.0,4,-6.86,
overexposed,306,False,91.18,90.12,95.75,86.29,0.98,97.71,0.0,0.0,0.0,2.29,0.0,0.0,0.0,0.0,4,-8.82,
torn_bright,210,True,89.52,92.72,95.71,88.74,3.33,84.76,100.0,84.76,91.75,0.0,80.47,69.54,86.42,19.53,4,-10.48,-14.88
indoor_baseline,120,True,100.0,96.19,100.0,96.19,0.0,97.5,100.0,92.86,96.3,0.0,90.91,77.48,85.22,9.09,5,0.0,0.0
outdoor,390,False,96.67,96.42,100.0,96.42,0.0,98.72,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,5,-3.33,
backlight,306,False,96.73,95.9,99.35,95.28,0.0,96.08,0.0,0.0,0.0,3.92,0.0,0.0,0.0,0.0,5,-3.27,
overexposed,306,False,89.54,91.59,97.71,89.49,0.98,97.39,0.0,0.0,0.0,2.61,0.0,0.0,0.0,0.0,5,-10.46,
torn_bright,210,True,89.52,93.4,95.71,89.39,2.38,87.14,100.0,87.14,93.13,0.0,82.33,71.34,86.66,17.67,5,-10.48,-8.58
