epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.23442,0.98935,3.88065,1.40923,0.58587,0.55298,0.48088,0.42464,0.79665,4.8747,1.22328,0.00026361,0.00026361,0.00026361
2,17.8926,0.81097,1.76167,1.20446,0.64363,0.6827,0.73732,0.57082,0.79402,2.58606,1.24875,0.000531001,0.000531001,0.000531001
3,26.7785,0.82361,1.25896,1.16111,0.52239,0.59932,0.54349,0.30318,1.44059,3.27871,2.08282,0.000792992,0.000792992,0.000792992
4,35.3699,0.85509,1.13154,1.18239,0.67063,0.72748,0.78956,0.5918,0.89386,1.66763,1.33277,0.000882003,0.000882003,0.000882003
5,43.9507,0.85235,1.06497,1.16447,0.63909,0.72853,0.77788,0.60064,0.85485,1.93292,1.25775,0.000873004,0.000873004,0.000873004
6,52.5671,0.82322,0.94152,1.15012,0.653,0.74541,0.76524,0.5422,1.01779,1.47775,1.47726,0.000864004,0.000864004,0.000864004
7,61.592,0.80166,0.93862,1.13966,0.72468,0.83283,0.84533,0.68637,0.76503,1.28062,1.17872,0.000855005,0.000855005,0.000855005
8,70.3283,0.74136,0.80218,1.09851,0.7219,0.74533,0.77956,0.63307,0.72309,1.50326,1.13561,0.000846006,0.000846006,0.000846006
9,79.1715,0.7486,0.76907,1.1022,0.80913,0.77407,0.9036,0.74533,0.71635,1.0772,1.0989,0.000837007,0.000837007,0.000837007
10,88.0212,0.71435,0.80247,1.09281,0.88864,0.88296,0.93673,0.78172,0.66756,0.87323,1.07281,0.000828008,0.000828008,0.000828008
11,96.7843,0.71482,0.73081,1.0866,0.94305,0.8682,0.94243,0.8185,0.61641,0.66225,1.04754,0.000819009,0.000819009,0.000819009
12,105.551,0.72211,0.70148,1.09964,0.92611,0.89575,0.92831,0.82147,0.58323,0.64397,1.014,0.00081001,0.00081001,0.00081001
13,114.262,0.70126,0.66396,1.06596,0.91674,0.90299,0.96824,0.84908,0.59152,0.62365,1.02524,0.000801011,0.000801011,0.000801011
14,123.039,0.71574,0.69451,1.06522,0.93134,0.91005,0.95445,0.83931,0.57223,0.63418,1.00869,0.000792012,0.000792012,0.000792012
15,131.634,0.70413,0.69595,1.07475,0.90562,0.93187,0.96308,0.83927,0.59806,0.59212,1.01585,0.000783013,0.000783013,0.000783013
16,140.295,0.68649,0.68792,1.07081,0.89273,0.88671,0.93535,0.82541,0.54177,0.63828,0.9833,0.000774013,0.000774013,0.000774013
17,148.933,0.6569,0.63348,1.04203,0.88334,0.82725,0.89215,0.78282,0.5996,0.82506,1.01176,0.000765014,0.000765014,0.000765014
18,157.588,0.65396,0.66119,1.06731,0.85921,0.83048,0.89913,0.77042,0.5974,0.85301,1.00608,0.000756015,0.000756015,0.000756015
19,166.212,0.63493,0.63709,1.04116,0.94217,0.90731,0.95109,0.84274,0.55376,0.60749,0.97238,0.000747016,0.000747016,0.000747016
20,174.895,0.6446,0.63558,1.04746,0.94016,0.93693,0.97697,0.86661,0.54257,0.53086,0.97324,0.000738017,0.000738017,0.000738017
21,183.701,0.66881,0.65993,1.05576,0.91923,0.95648,0.97069,0.8534,0.58052,0.49422,0.98646,0.000729018,0.000729018,0.000729018
22,192.818,0.60628,0.53638,1.01622,0.93554,0.90598,0.96678,0.85767,0.53556,0.52244,0.95641,0.000720019,0.000720019,0.000720019
23,201.5,0.62242,0.56623,1.02704,0.93136,0.94376,0.96735,0.84647,0.54023,0.50011,0.96391,0.00071102,0.00071102,0.00071102
24,210.175,0.60199,0.55545,1.01784,0.94589,0.96949,0.97817,0.85401,0.56473,0.42009,0.97144,0.000702021,0.000702021,0.000702021
25,218.868,0.63094,0.59473,1.03517,0.95791,0.95178,0.97444,0.87773,0.54019,0.46907,0.96977,0.000693022,0.000693022,0.000693022
26,227.764,0.59308,0.51115,1.01624,0.95927,0.95769,0.97672,0.88101,0.50838,0.41775,0.93488,0.000684022,0.000684022,0.000684022
27,236.65,0.60744,0.56518,1.03037,0.97074,0.96495,0.98022,0.88217,0.53041,0.40996,0.95277,0.000675023,0.000675023,0.000675023
28,245.424,0.59537,0.53791,1.02979,0.93486,0.96231,0.98164,0.88071,0.50572,0.41539,0.93622,0.000666024,0.000666024,0.000666024
29,254.12,0.60343,0.56731,1.01562,0.95364,0.97617,0.98277,0.88752,0.51351,0.40534,0.95384,0.000657025,0.000657025,0.000657025
30,262.962,0.57519,0.50465,1.0141,0.93528,0.96451,0.97966,0.88904,0.49189,0.42372,0.93964,0.000648026,0.000648026,0.000648026
31,271.75,0.5781,0.48729,1.01522,0.95396,0.97148,0.98001,0.89831,0.48583,0.36821,0.92802,0.000639027,0.000639027,0.000639027
32,280.543,0.57186,0.4807,1.01171,0.92462,0.93389,0.95462,0.86892,0.49795,0.46643,0.94173,0.000630028,0.000630028,0.000630028
33,289.268,0.57443,0.50301,1.00548,0.94347,0.95618,0.96756,0.87801,0.50615,0.45009,0.95781,0.000621029,0.000621029,0.000621029
34,298.047,0.56296,0.48493,0.98903,0.94496,0.97524,0.97816,0.87702,0.51902,0.43244,0.96006,0.00061203,0.00061203,0.00061203
35,306.766,0.54461,0.44562,0.99103,0.96464,0.97854,0.98016,0.88215,0.51635,0.38103,0.93356,0.000603031,0.000603031,0.000603031
36,315.512,0.55927,0.50359,0.99611,0.95106,0.98403,0.98631,0.88341,0.52507,0.37731,0.95478,0.000594031,0.000594031,0.000594031
37,324.54,0.57085,0.51779,1.01032,0.93675,0.90272,0.97094,0.86809,0.52399,0.51186,0.95597,0.000585032,0.000585032,0.000585032
38,333.324,0.56832,0.47356,1.00572,0.96224,0.94227,0.97509,0.88075,0.51719,0.41731,0.94533,0.000576033,0.000576033,0.000576033
39,342.124,0.52174,0.42725,0.98297,0.98204,0.96214,0.98055,0.91205,0.45896,0.34887,0.90781,0.000567034,0.000567034,0.000567034
40,351.015,0.53229,0.43299,0.97454,0.95723,0.94529,0.97807,0.90855,0.46228,0.39477,0.90983,0.000558035,0.000558035,0.000558035
41,359.785,0.51883,0.42686,0.98983,0.90039,0.94229,0.97026,0.89837,0.48216,0.45163,0.92439,0.000549036,0.000549036,0.000549036
42,368.559,0.55226,0.5008,0.99925,0.94293,0.96753,0.9816,0.89714,0.48392,0.35234,0.92858,0.000540037,0.000540037,0.000540037
43,377.329,0.52352,0.46686,0.99434,0.97644,0.9581,0.9813,0.88466,0.52157,0.38431,0.95325,0.000531038,0.000531038,0.000531038
44,386.166,0.51742,0.43282,0.97923,0.9626,0.97517,0.98381,0.89711,0.48641,0.37312,0.92973,0.000522039,0.000522039,0.000522039
45,394.963,0.5241,0.42983,0.98514,0.98984,0.96479,0.98102,0.90428,0.4564,0.32004,0.90423,0.00051304,0.00051304,0.00051304
46,403.749,0.51654,0.4207,0.98752,0.94659,0.96333,0.98595,0.90532,0.46656,0.38512,0.90391,0.00050404,0.00050404,0.00050404
47,412.534,0.5233,0.45258,0.99318,0.96851,0.97061,0.98578,0.90838,0.44937,0.35411,0.89969,0.000495041,0.000495041,0.000495041
48,421.335,0.51582,0.43025,0.9753,0.97081,0.96531,0.97795,0.90277,0.47367,0.32591,0.92314,0.000486042,0.000486042,0.000486042
49,430.12,0.52936,0.41527,0.9803,0.93846,0.94207,0.97663,0.90934,0.47524,0.39377,0.91121,0.000477043,0.000477043,0.000477043
50,438.878,0.51566,0.4551,0.97737,0.98174,0.9691,0.98077,0.90872,0.44661,0.33416,0.90589,0.000468044,0.000468044,0.000468044
51,447.593,0.4834,0.38238,0.95074,0.97576,0.96728,0.98238,0.90223,0.46254,0.32035,0.90842,0.000459045,0.000459045,0.000459045
52,456.665,0.49202,0.40239,0.97828,0.98785,0.97495,0.98742,0.91106,0.45475,0.31665,0.904,0.000450046,0.000450046,0.000450046
53,465.458,0.49901,0.43183,0.96895,0.95598,0.93258,0.98058,0.90424,0.45536,0.38098,0.90936,0.000441047,0.000441047,0.000441047
54,474.284,0.48212,0.4187,0.96581,0.97069,0.97699,0.98737,0.91418,0.44196,0.32123,0.90509,0.000432048,0.000432048,0.000432048
55,483.168,0.49544,0.38623,0.9728,0.96636,0.96492,0.98086,0.91157,0.45874,0.33806,0.91101,0.000423049,0.000423049,0.000423049
56,491.955,0.4762,0.36643,0.9551,0.98236,0.96561,0.9828,0.91103,0.43689,0.33255,0.89375,0.000414049,0.000414049,0.000414049
57,500.723,0.47573,0.38414,0.96331,0.97498,0.97136,0.98615,0.91733,0.42618,0.31112,0.88647,0.00040505,0.00040505,0.00040505
58,509.617,0.45836,0.36605,0.95396,0.97637,0.9659,0.98375,0.90955,0.41654,0.31081,0.87861,0.000396051,0.000396051,0.000396051
59,518.484,0.50304,0.43718,0.99592,0.98372,0.97422,0.98922,0.91426,0.44245,0.31273,0.89663,0.000387052,0.000387052,0.000387052
60,527.28,0.47452,0.36414,0.96261,0.98438,0.96597,0.98589,0.91627,0.45964,0.32189,0.90089,0.000378053,0.000378053,0.000378053
61,536.103,0.48161,0.38947,0.96176,0.98432,0.96497,0.9866,0.91642,0.43618,0.30135,0.89886,0.000369054,0.000369054,0.000369054
62,544.871,0.46392,0.40258,0.9557,0.95898,0.96546,0.98665,0.91057,0.4383,0.33673,0.89495,0.000360055,0.000360055,0.000360055
63,553.688,0.47105,0.38766,0.9536,0.96804,0.94934,0.98382,0.9064,0.45186,0.33928,0.90475,0.000351056,0.000351056,0.000351056
64,562.474,0.47041,0.39631,0.96854,0.98302,0.95917,0.98752,0.91324,0.43266,0.2972,0.89395,0.000342057,0.000342057,0.000342057
65,571.229,0.44851,0.36072,0.94857,0.96755,0.9422,0.96924,0.90755,0.4387,0.37175,0.90365,0.000333058,0.000333058,0.000333058
66,580.272,0.44176,0.34303,0.95479,0.97215,0.95465,0.97707,0.90567,0.46088,0.33546,0.91172,0.000324058,0.000324058,0.000324058
67,589.094,0.44634,0.34518,0.94891,0.95674,0.97825,0.97931,0.90996,0.45695,0.30511,0.90629,0.000315059,0.000315059,0.000315059
68,597.938,0.44317,0.34474,0.94955,0.95854,0.97154,0.98274,0.91892,0.43494,0.30128,0.89273,0.00030606,0.00030606,0.00030606
69,606.863,0.45244,0.34039,0.95625,0.97966,0.96429,0.98107,0.92164,0.43889,0.29996,0.89746,0.000297061,0.000297061,0.000297061
70,615.818,0.45588,0.35153,0.9527,0.97654,0.97405,0.97862,0.91443,0.44435,0.30906,0.897,0.000288062,0.000288062,0.000288062
71,624.626,0.42599,0.32223,0.94754,0.97621,0.97727,0.97738,0.91688,0.43261,0.29644,0.89725,0.000279063,0.000279063,0.000279063
72,633.439,0.43075,0.32765,0.95092,0.97941,0.97403,0.98005,0.91365,0.42655,0.28044,0.89634,0.000270064,0.000270064,0.000270064
73,642.244,0.4557,0.34253,0.95047,0.97871,0.97403,0.97805,0.91553,0.42357,0.29336,0.89209,0.000261065,0.000261065,0.000261065
74,650.931,0.41718,0.32978,0.94374,0.96043,0.95871,0.97681,0.91535,0.43026,0.31625,0.89109,0.000252066,0.000252066,0.000252066
75,659.719,0.42163,0.32007,0.9313,0.9646,0.95471,0.9791,0.91798,0.41865,0.30654,0.88241,0.000243067,0.000243067,0.000243067
76,668.541,0.43138,0.32762,0.93528,0.97065,0.96519,0.98385,0.91145,0.42941,0.27844,0.88416,0.000234068,0.000234068,0.000234068
77,677.309,0.41106,0.30447,0.92042,0.96767,0.96992,0.98365,0.9139,0.42697,0.28118,0.88359,0.000225068,0.000225068,0.000225068
78,686.082,0.41858,0.31952,0.93955,0.97841,0.96363,0.98592,0.91951,0.41677,0.2766,0.88693,0.000216069,0.000216069,0.000216069
79,695.091,0.40222,0.29645,0.92889,0.98844,0.96104,0.98387,0.92033,0.41684,0.27598,0.8866,0.00020707,0.00020707,0.00020707
80,703.924,0.42474,0.3251,0.95124,0.98435,0.96857,0.98306,0.92544,0.41514,0.27051,0.88774,0.000198071,0.000198071,0.000198071
81,712.855,0.39673,0.29957,0.93043,0.98589,0.97207,0.98372,0.91737,0.41916,0.27483,0.88736,0.000189072,0.000189072,0.000189072
82,721.697,0.39589,0.31193,0.92962,0.98749,0.9681,0.98384,0.92902,0.40472,0.25997,0.87738,0.000180073,0.000180073,0.000180073
83,730.613,0.40146,0.31657,0.9309,0.98864,0.97153,0.98334,0.92832,0.39997,0.25235,0.87604,0.000171074,0.000171074,0.000171074
84,739.421,0.40678,0.30391,0.93211,0.98706,0.96901,0.98237,0.92542,0.40549,0.25813,0.88386,0.000162075,0.000162075,0.000162075
85,748.178,0.38173,0.28907,0.92164,0.97831,0.97422,0.98138,0.92584,0.41045,0.26538,0.88271,0.000153076,0.000153076,0.000153076
86,756.915,0.38588,0.30242,0.92319,0.98207,0.96753,0.97848,0.9272,0.41012,0.26471,0.88445,0.000144077,0.000144077,0.000144077
87,765.728,0.36772,0.27979,0.91839,0.97514,0.97778,0.9794,0.9271,0.41155,0.2576,0.88727,0.000135077,0.000135077,0.000135077
88,774.541,0.37023,0.29932,0.92104,0.9862,0.97086,0.9824,0.92593,0.42089,0.25644,0.89169,0.000126078,0.000126078,0.000126078
89,783.284,0.36227,0.28964,0.91565,0.98761,0.97332,0.97983,0.9228,0.42097,0.26603,0.89119,0.000117079,0.000117079,0.000117079
90,792.114,0.36966,0.27484,0.92061,0.98869,0.96958,0.98211,0.92557,0.42137,0.26096,0.88903,0.00010808,0.00010808,0.00010808
91,802.958,0.2852,0.22935,0.84217,0.99181,0.96827,0.98594,0.92597,0.40747,0.26024,0.87887,9.9081e-05,9.9081e-05,9.9081e-05
92,811.779,0.28666,0.20929,0.82035,0.98736,0.96596,0.98377,0.92152,0.41474,0.259,0.88197,9.00819e-05,9.00819e-05,9.00819e-05
93,820.717,0.27508,0.20703,0.81921,0.98548,0.96801,0.98342,0.92478,0.4134,0.25967,0.88005,8.10828e-05,8.10828e-05,8.10828e-05
94,829.483,0.27441,0.20604,0.82858,0.98542,0.97027,0.98466,0.93051,0.41391,0.2539,0.88075,7.20837e-05,7.20837e-05,7.20837e-05
95,838.283,0.27289,0.21271,0.82605,0.98853,0.97494,0.98894,0.92958,0.40291,0.25097,0.87831,6.30846e-05,6.30846e-05,6.30846e-05
96,846.982,0.2651,0.19988,0.82388,0.98857,0.97449,0.98831,0.93279,0.41372,0.26113,0.88263,5.40855e-05,5.40855e-05,5.40855e-05
97,855.809,0.26082,0.19431,0.82047,0.98902,0.9742,0.98821,0.93222,0.41207,0.25696,0.8797,4.50864e-05,4.50864e-05,4.50864e-05
98,864.588,0.25936,0.19385,0.82523,0.98875,0.97417,0.98856,0.93355,0.40756,0.26081,0.8787,3.60873e-05,3.60873e-05,3.60873e-05
99,873.419,0.24334,0.18148,0.80695,0.98746,0.97576,0.98885,0.93208,0.40369,0.25266,0.87739,2.70882e-05,2.70882e-05,2.70882e-05
