condition,num_samples,has_real_tears,accuracy_denom,banknote_avg_iou,banknote_map50,banknote_map50_95,banknote_miss_rate,binary_tear_acc,false_alarm_rate,torn_precision,torn_recall,torn_f1,mAP50_tear,mAP50_95_tear,avg_IoU_tear,miss_rate_tear,fold,method
indoor,120,False,45.0,88.61,89.17,79.01,8.33,91.67,8.33,0.0,0.0,0.0,,,,,1,afifi
outdoor,350,False,37.43,87.61,83.43,73.09,14.86,97.14,2.86,0.0,0.0,0.0,,,,,1,afifi
backlight,274,False,43.07,87.93,88.69,77.98,10.22,96.35,3.65,0.0,0.0,0.0,,,,,1,afifi
overexposed,274,False,34.31,86.5,89.42,77.35,9.85,97.08,2.92,0.0,0.0,0.0,,,,,1,afifi
torn_clean,60,True,26.67,87.73,93.33,81.88,6.67,46.67,0.0,100.0,46.67,63.64,42.19,33.53,79.49,57.81,1,afifi
torn_bright,188,True,32.45,87.21,85.64,74.69,12.23,53.19,0.0,100.0,53.19,69.44,47.42,38.15,80.45,52.58,1,afifi
indoor,120,False,49.17,87.09,95.83,83.46,0.83,93.33,6.67,0.0,0.0,0.0,,,,,2,afifi
outdoor,350,False,40.86,84.44,94.0,79.37,2.29,96.86,3.14,0.0,0.0,0.0,,,,,2,afifi
backlight,274,False,39.42,84.6,94.53,79.97,1.82,92.34,7.66,0.0,0.0,0.0,,,,,2,afifi
overexposed,274,False,27.37,81.7,90.51,73.95,2.55,89.78,10.22,0.0,0.0,0.0,,,,,2,afifi
torn_clean,60,True,18.33,84.38,100.0,84.38,0.0,51.67,0.0,100.0,51.67,68.13,37.5,28.16,75.1,62.5,2,afifi
torn_bright,188,True,27.13,80.66,89.89,72.51,1.6,53.19,0.0,100.0,53.19,69.44,40.21,31.28,77.79,59.79,2,afifi
indoor,120,False,41.67,89.63,92.5,82.91,7.5,98.33,1.67,0.0,0.0,0.0,,,,,3,afifi
outdoor,350,False,44.0,86.39,89.43,77.26,7.14,99.14,0.86,0.0,0.0,0.0,,,,,3,afifi
backlight,274,False,43.43,88.85,89.78,79.77,8.76,99.27,0.73,0.0,0.0,0.0,,,,,3,afifi
overexposed,274,False,31.75,86.91,91.97,79.93,7.3,98.18,1.82,0.0,0.0,0.0,,,,,3,afifi
torn_clean,60,True,23.33,86.65,93.33,80.87,3.33,48.33,0.0,100.0,48.33,65.17,42.19,33.08,78.41,57.81,3,afifi
torn_bright,188,True,31.91,86.5,85.64,74.08,11.7,50.53,0.0,100.0,50.53,67.14,44.85,35.55,79.26,55.15,3,afifi
indoor,120,False,43.33,88.22,90.0,79.4,9.17,90.83,9.17,0.0,0.0,0.0,,,,,4,afifi
outdoor,350,False,39.71,86.61,86.57,74.98,10.86,91.71,8.29,0.0,0.0,0.0,,,,,4,afifi
backlight,274,False,41.97,85.15,85.4,72.72,10.22,93.43,6.57,0.0,0.0,0.0,,,,,4,afifi
overexposed,274,False,34.67,86.06,81.39,70.04,17.15,87.59,12.41,0.0,0.0,0.0,,,,,4,afifi
torn_clean,60,True,33.33,82.69,83.33,68.91,11.67,56.67,0.0,100.0,56.67,72.34,48.44,40.03,82.65,51.56,4,afifi
torn_bright,188,True,28.19,85.41,82.98,70.87,14.89,57.45,0.0,100.0,57.45,72.97,45.88,36.67,79.94,54.12,4,afifi
indoor,120,False,49.17,86.03,94.17,81.02,4.17,73.33,26.67,0.0,0.0,0.0,,,,,5,afifi
outdoor,350,False,40.0,85.9,87.43,75.11,9.71,79.43,20.57,0.0,0.0,0.0,,,,,5,afifi
backlight,274,False,40.88,85.64,92.7,79.39,5.84,69.34,30.66,0.0,0.0,0.0,,,,,5,afifi
overexposed,274,False,39.78,84.96,93.8,79.69,5.11,64.96,35.04,0.0,0.0,0.0,,,,,5,afifi
torn_clean,60,True,25.0,82.64,95.0,78.51,3.33,66.67,0.0,100.0,66.67,80.0,51.56,39.24,76.11,48.44,5,afifi
torn_bright,188,True,33.51,82.45,86.17,71.04,9.04,78.19,0.0,100.0,78.19,87.76,55.67,44.36,79.68,44.33,5,afifi
